246;Banco ABC Brasil S.A.;www.abcbrasil.com.br
075;Banco ABN AMRO S.A.;www.abnamro.com
121;Banco Agibank S.A.;www.agibank.com.br
025;Banco Alfa S.A.;www.bancoalfa.com.br
641;Banco Alvorada S.A.;Não possui site
065;Banco Andbank (Brasil) S.A.;www.andbank-lla.com.br
096;Banco B3 S.A.;www.bmfbovespa.com.br/bancobmfbovespa/
024;Banco BANDEPE S.A.;www.santander.com.br
318;Banco BMG S.A.;www.bancobmg.com.br
752;Banco BNP Paribas Brasil S.A.;www.bnpparibas.com.br
107;Banco BOCOM BBM S.A.;www.bancobbm.com.br
063;Banco Bradescard S.A.;www.ibi.com.br
036;Banco Bradesco BBI S.A.;Não possui site
204;Banco Bradesco Cartões S.A.;não tem site
394;Banco Bradesco Financiamentos S.A.;não tem site
237;Banco Bradesco S.A.;www.bradesco.com.br
218;Banco BS2 S.A.;www.bs2.com/banco/
208;Banco BTG Pactual S.A.;www.btgpactual.com
;Banco C6 S.A.;https://www.c6bank.com/
473;Banco Caixa Geral - Brasil S.A.;www.bcgbrasil.com.br
040;Banco Cargill S.A.;www.bancocargill.com.br
;Banco Caterpillar S.A.;www.catfinancial.com.br
739;Banco Cetelem S.A.;www.cetelem.com.br
233;Banco Cifra S.A.;www.bancocifra.com.br
745;Banco Citibank S.A.;www.citibank.com.br
;Banco CNH Industrial Capital S.A.;www.cnhindustrialcapital.com
756;Banco Cooperativo do Brasil S.A. - BANCOOB;www.bancoob.com.br
748;Banco Cooperativo Sicredi S.A.;www.sicredi.com.br
222;Banco Credit Agricole Brasil S.A.;www.calyon.com.br
505;Banco Credit Suisse (Brasil) S.A.;www.csfb.com
;Banco CSF S.A.;
003;Banco da Amazônia S.A.;www.bancoamazonia.com.br
083;Banco da China Brasil S.A.;www.boc-brazil.com
707;Banco Daycoval S.A.;www.daycoval.com.br
;Banco de Lage Landen Brasil S.A.;www.dllgroup.com
;Banco Digio S.A.;www.aebb.com.br
001;Banco do Brasil S.A.;www.bb.com.br
047;Banco do Estado de Sergipe S.A.;www.banese.com.br
037;Banco do Estado do Pará S.A.;www.banpara.b.br
041;Banco do Estado do Rio Grande do Sul S.A.;www.banrisul.com.br
004;Banco do Nordeste do Brasil S.A.;www.banconordeste.gov.br
265;Banco Fator S.A.;www.fator.com.br
224;Banco Fibra S.A.;www.bancofibra.com.br
626;Banco Ficsa S.A.;www.ficsa.com.br
;Banco Fidis S.A.;www.bancofidis.com.br
094;Banco Finaxis S.A.;www.bancofinaxis.com.br
;Banco Ford S.A.;www.bancoford.com.br
;Banco GMAC S.A.;www.chevroletsf.com.br
612;Banco Guanabara S.A.;www.bancoguanabara.com.br
;Banco Honda S.A.;www.bancohonda.com.br
;Banco IBM S.A.;www.ibm.com/financing/br
012;Banco Inbursa S.A.;www.bancoinbursa.com
604;Banco Industrial do Brasil S.A.;www.bancoindustrial.com.br
653;Banco Indusval S.A.;www.bip.b.br
077;Banco Inter S.A.;www.bancointer.com.br
249;Banco Investcred Unibanco S.A.;Não possui site
184;Banco Itaú BBA S.A.;www.itaubba.com.br
029;Banco Itaú Consignado S.A.;
;Banco Itaú Veículos S.A.;www.bancofiat.com.br
479;Banco ItauBank S.A;www.itaubank.com.br
;Banco Itaucard S.A.;www.itau.com.br
376;Banco J. P. Morgan S.A.;www.jpmorgan.com
074;Banco J. Safra S.A.;www.safra.com.br
217;Banco John Deere S.A.;www.johndeere.com.br
600;Banco Luso Brasileiro S.A.;www.lusobrasileiro.com.br
389;Banco Mercantil do Brasil S.A.;www.mercantil.com.br
370;Banco Mizuho do Brasil S.A.;www.mizuhobank.com/brazil/pt/
746;Banco Modal S.A.;www.bancomodal.com.br
;Banco Moneo S.A.;www.bancomoneo.com.br
456;Banco MUFG Brasil S.A.;www.br.bk.mufg.jp
169;Banco Olé Bonsucesso Consignado S.A.;www.oleconsignado.com.br
212;Banco Original S.A.;www.original.com.br
623;Banco PAN S.A.;www.bancopan.com.br
611;Banco Paulista S.A.;www.bancopaulista.com.br
643;Banco Pine S.A.;www.pine.com
747;Banco Rabobank International Brasil S.A.;www.rabobank.com.br
;Banco RCI Brasil S.A.;www.bancorenault.com.br
633;Banco Rendimento S.A.;www.rendimento.com.br
120;Banco Rodobens S.A.;www.rodobens.com.br
422;Banco Safra S.A.;www.safra.com.br
033;Banco Santander  (Brasil)  S.A.;www.santander.com.br
743;Banco Semear S.A.;www.bancosemear.com.br
630;Banco Smartbank S.A.;
366;Banco Société Générale Brasil S.A.;www.sgbrasil.com.br
464;Banco Sumitomo Mitsui Brasileiro S.A.;www.smbcgroup.com.br
082;Banco Topázio S.A.;www.bancotopazio.com.br
;Banco Toyota do Brasil S.A.;www.bancotoyota.com.br
634;Banco Triângulo S.A.;www.tribanco.com.br
;Banco Volvo Brasil S.A.;Não possui site
655;Banco Votorantim S.A.;www.bancovotorantim.com.br
610;Banco VR S.A.;www.vrinvestimentos.com.br
119;Banco Western Union do Brasil S.A.;www.bancowesternunion.com.br
;Banco XP S.A.;
;Banco Yamaha Motor do Brasil S.A.;www.yamaha-motor.com.br
081;BancoSeguro S.A.;www.rendimento.com.br
021;BANESTES S.A. Banco do Estado do Espírito Santo;www.banestes.com.br
755;Bank of America Merrill Lynch Banco Múltiplo S.A.;www.ml.com
250;BCV - Banco de Crédito e Varejo S.A.;www.bancobcv.com.br
144;BEXS Banco de Câmbio S.A.;www.bexs.com.br
017;BNY Mellon Banco S.A.;www.bnymellon.com.br
070;BRB - Banco de Brasília S.A.;www.brb.com.br
104;Caixa Econômica Federal;www.caixa.gov.br
320;China Construction Bank (Brasil) Banco Múltiplo S.A.;www.br.ccb.com
477;Citibank N.A.;www.citibank.com
487;Deutsche Bank S.A. - Banco Alemão;www.deutsche-bank.com.br
064;Goldman Sachs do Brasil Banco Múltiplo S.A.;www.goldmansachs.com
062;Hipercard Banco Múltiplo S.A.;www.hipercard.com.br
269;HSBC Brasil S.A. - Banco de Investimento;
492;ING Bank N.V.;www.ing.com
652;Itaú Unibanco Holding S.A.;www.itau.com.br
341;Itaú Unibanco S.A.;www.itau.com.br
488;"JPMorgan Chase Bank, National Association";www.jpmorganchase.com
399;Kirton Bank S.A. - Banco Múltiplo;
128;MS Bank S.A. Banco de Câmbio;www.msbank.com.br
254;Paraná Banco S.A.;www.paranabanco.com.br
125;Plural S.A. - Banco Múltiplo;www.brasilplural.com
;Scania Banco S.A.;www.scaniabanco.com.br
751;Scotiabank Brasil S.A. Banco Múltiplo;www.br.scotiabank.com
095;Travelex Banco de Câmbio S.A.;www.bancoconfidence.com.br
129;UBS Brasil Banco de Investimento S.A.;www.ubs.com
